Cluster Representative	P-P Genomes
IMGVR_UViG_2526164613_000004	IMGVR_UViG_2526164613_000004
IMGVR_UViG_2526164617_000001	IMGVR_UViG_2526164617_000001
IMGVR_UViG_2526164618_000003	IMGVR_UViG_2526164618_000003
IMGVR_UViG_2526164619_000003	IMGVR_UViG_2526164619_000003
IMGVR_UViG_2526164621_000001	IMGVR_UViG_2526164621_000001
IMGVR_UViG_2526164623_000001	IMGVR_UViG_2526164623_000001
IMGVR_UViG_2526164628_000003	IMGVR_UViG_2526164628_000003
IMGVR_UViG_2526164629_000005	IMGVR_UViG_2526164629_000005
IMGVR_UViG_2526164630_000004	IMGVR_UViG_2526164630_000004
IMGVR_UViG_2526164631_000004	IMGVR_UViG_2526164631_000004
IMGVR_UViG_2526164632_000001	IMGVR_UViG_2526164632_000001
IMGVR_UViG_2526164632_000002	IMGVR_UViG_2526164632_000002
IMGVR_UViG_2526164632_000004	IMGVR_UViG_2526164632_000004
IMGVR_UViG_2526164633_000004	IMGVR_UViG_2526164633_000004
IMGVR_UViG_2526164633_000006	IMGVR_UViG_2526164633_000006
IMGVR_UViG_2526164633_000011	IMGVR_UViG_2526164633_000011
IMGVR_UViG_2526164634_000004	IMGVR_UViG_2526164634_000004
IMGVR_UViG_2526164634_000005	IMGVR_UViG_2526164634_000005
IMGVR_UViG_2526164634_000006	IMGVR_UViG_2526164634_000006
IMGVR_UViG_2526164634_000007	IMGVR_UViG_2526164634_000007
IMGVR_UViG_2526164646_000005	IMGVR_UViG_2526164646_000005
IMGVR_UViG_2526164647_000001	IMGVR_UViG_2526164647_000001
IMGVR_UViG_2526164647_000002	IMGVR_UViG_2526164647_000002
IMGVR_UViG_2526164647_000005	IMGVR_UViG_2526164647_000005
IMGVR_UViG_2526164647_000005	IMGVR_UViG_2526164621_000004
IMGVR_UViG_2526164649_000003	IMGVR_UViG_2526164649_000003
IMGVR_UViG_2526164650_000001	IMGVR_UViG_2526164650_000001
IMGVR_UViG_2526164662_000003	IMGVR_UViG_2526164662_000003
IMGVR_UViG_2526164662_000004	IMGVR_UViG_2526164662_000004
IMGVR_UViG_2526164662_000007	IMGVR_UViG_2526164662_000007
IMGVR_UViG_2526164662_000009	IMGVR_UViG_2526164662_000009
IMGVR_UViG_2526164663_000002	IMGVR_UViG_2526164663_000002
IMGVR_UViG_2526164663_000007	IMGVR_UViG_2526164663_000007
IMGVR_UViG_2526164664_000002	IMGVR_UViG_2526164664_000002
IMGVR_UViG_2526164664_000002	IMGVR_UViG_2526164669_000002
IMGVR_UViG_2526164665_000002	IMGVR_UViG_2526164665_000002
IMGVR_UViG_2526164665_000004	IMGVR_UViG_2526164665_000004
IMGVR_UViG_2526164665_000008	IMGVR_UViG_2526164665_000008
IMGVR_UViG_2526164666_000008	IMGVR_UViG_2526164666_000008
IMGVR_UViG_2526164668_000004	IMGVR_UViG_2526164668_000004
IMGVR_UViG_2526164668_000005	IMGVR_UViG_2526164668_000005
IMGVR_UViG_2526164668_000005	IMGVR_UViG_2526164663_000008
IMGVR_UViG_2526164668_000005	IMGVR_UViG_2526164688_000003
IMGVR_UViG_2526164668_000005	IMGVR_UViG_3300029851_000041
IMGVR_UViG_2526164670_000004	IMGVR_UViG_2526164670_000004
IMGVR_UViG_2526164688_000006	IMGVR_UViG_2526164688_000006
IMGVR_UViG_2526164688_000007	IMGVR_UViG_2526164688_000007
IMGVR_UViG_2526164690_000001	IMGVR_UViG_2526164690_000001
IMGVR_UViG_2526164690_000004	IMGVR_UViG_2526164690_000004
IMGVR_UViG_2526164690_000006	IMGVR_UViG_2526164690_000006
IMGVR_UViG_2526164690_000012	IMGVR_UViG_2526164690_000012
IMGVR_UViG_2526164691_000002	IMGVR_UViG_2526164691_000002
IMGVR_UViG_2526164691_000002	IMGVR_UViG_2526164688_000001
IMGVR_UViG_2529292715_000005	IMGVR_UViG_2529292715_000005
IMGVR_UViG_2529292716_000001	IMGVR_UViG_2529292716_000001
IMGVR_UViG_2529292716_000003	IMGVR_UViG_2529292716_000003
IMGVR_UViG_2529292718_000003	IMGVR_UViG_2529292718_000003
IMGVR_UViG_2529292719_000004	IMGVR_UViG_2529292719_000004
IMGVR_UViG_2529292726_000008	IMGVR_UViG_2529292726_000008
IMGVR_UViG_2529292729_000002	IMGVR_UViG_2529292729_000002
IMGVR_UViG_2529292730_000002	IMGVR_UViG_2529292730_000002
IMGVR_UViG_2529292730_000002	IMGVR_UViG_2519899565_000003
IMGVR_UViG_2529292735_000001	IMGVR_UViG_2529292735_000001
IMGVR_UViG_2529292736_000001	IMGVR_UViG_2529292736_000001
IMGVR_UViG_2529292828_000004	IMGVR_UViG_2529292828_000004
NZ_CP072972	NZ_CP072972
NZ_CP073072	NZ_CP073072
NZ_CP074067	NZ_CP074067
NZ_CP074067	NZ_CP017207
NZ_CP074117	NZ_CP074117
NZ_CP074122	NZ_CP074122
NZ_CP074704	NZ_CP074704
NZ_CP075058	NZ_CP075058
NZ_CP075059	NZ_CP075059
NZ_CP075258	NZ_CP075258
NZ_CP075317	NZ_CP075317
NZ_CP075461	NZ_CP075461
NZ_CP075475	NZ_CP075475
NZ_CP076011	NZ_CP076011
NZ_CP076303	NZ_CP076303
NZ_CP076307	NZ_CP076307
NZ_CP076340	NZ_CP076340
NZ_CP076528	NZ_CP076528
NZ_CP076548	NZ_CP076548
NZ_CP076864	NZ_CP076864
NZ_CP077203	NZ_CP077203
NZ_CP077204	NZ_CP077204
NZ_CP077222	NZ_CP077222
NZ_CP077310	NZ_CP077310
NZ_CP077319	NZ_CP077319
NZ_CP077729	NZ_CP077729
NZ_CP077730	NZ_CP077730
NZ_CP077731	NZ_CP077731
NZ_CP077732	NZ_CP077732
NZ_CP078022	NZ_CP078022
NZ_CP079100	NZ_CP079100
NZ_CP079122	NZ_CP079122
NZ_CP079133	NZ_CP079133
NZ_CP079760	NZ_CP079760
NZ_CP079760	IMGVR_UViG_3300006021_000004
NZ_CP079763	NZ_CP079763
NZ_CP080123	NZ_CP080123
NZ_CP080128	NZ_CP080128
NZ_CP080135	NZ_CP080135
NZ_CP080149	NZ_CP080149
NZ_CP080229	NZ_CP080229
NZ_CP080230	NZ_CP080230
NZ_CP080254	NZ_CP080254
NZ_CP080257	NZ_CP080257
NZ_CP080257	Gammaproteobacteria_gi_558504559
NZ_CP080358	NZ_CP080358
NZ_CP080364	NZ_CP080364
NZ_CP080373	NZ_CP080373
NZ_FO818638	NZ_FO818638
NZ_KM659098	NZ_KM659098
NZ_KP453775	NZ_KP453775
NZ_KP763470	NZ_KP763470
NZ_KP792123	NZ_KP792123
NZ_KP942676	NZ_KP942676
NZ_KU980950	NZ_KU980950
NZ_KX015668	NZ_KX015668
NZ_KX518745	NZ_KX518745
NZ_KX833209	NZ_KX833209
NZ_KX880944	NZ_KX880944
NZ_KX928752	NZ_KX928752
NZ_KX928752	IMGVR_UViG_3300029049_000034
NZ_KY354306	NZ_KY354306
NZ_KY515224	NZ_KY515224
NZ_KY515225	NZ_KY515225
NZ_KY515226	NZ_KY515226
NZ_LC511659	NZ_LC511659
NZ_LN831788	NZ_LN831788
NZ_LN890526	NZ_LN890526
NZ_LN890657	NZ_LN890657
NZ_LN906635	NZ_LN906635
NZ_LR025090	NZ_LR025090
NZ_LR025094	NZ_LR025094
NZ_LR025094	UGV-GENOME-0314424
NZ_LR130553	NZ_LR130553
NZ_LR130557	NZ_LR130557
NZ_LR130557	IMGVR_UViG_3300029190_000014
NZ_LR134212	NZ_LR134212
NZ_LR134258	NZ_LR134258
NZ_LR134278	NZ_LR134278
NZ_LR134417	NZ_LR134417
NZ_LR134428	NZ_LR134428
NZ_LR214993	NZ_LR214993
NZ_LR882054	NZ_LR882054
NZ_LR882977	NZ_LR882977
NZ_LR882992	NZ_LR882992
NZ_LR883966	NZ_LR883966
NZ_LR890200	NZ_LR890200
NZ_LR890206	NZ_LR890206
NZ_LR890206	NZ_LR890724
NZ_LR890237	NZ_LR890237
NZ_LR890260	NZ_LR890260
NZ_LR890260	NZ_CP031806
NZ_LR890260	NZ_LR890638
NZ_LR890273	NZ_LR890273
NZ_LR890273	IMGVR_UViG_3300013958_000043
NZ_LR890293	NZ_LR890293
UGV-GENOME-4434910	UGV-GENOME-4434910
UGV-GENOME-4434910	UGV-GENOME-4434911
UGV-GENOME-4434933_1	UGV-GENOME-4434933_1
UGV-GENOME-4434933_1	UGV-GENOME-0370377_1
UGV-GENOME-4434958	UGV-GENOME-4434958
UGV-GENOME-4434965	UGV-GENOME-4434965
UGV-GENOME-4434975	UGV-GENOME-4434975
UGV-GENOME-4434975	UGV-GENOME-4434977_1
UGV-GENOME-4434976	UGV-GENOME-4434976
UGV-GENOME-4434981	UGV-GENOME-4434981
UGV-GENOME-4434981	UGV-GENOME-0370787_1
UGV-GENOME-4434981	DTR_623118
UGV-GENOME-4434997	UGV-GENOME-4434997
UGV-GENOME-4434997	DTR_623657
UGV-GENOME-4434997	uvig_142202
UGV-GENOME-4435345	UGV-GENOME-4435345
UGV-GENOME-4435345	DTR_617832
UGV-GENOME-4435645	UGV-GENOME-4435645
UGV-GENOME-4435645	MGV-GENOME-4435645
NC_027334	NC_027334
NC_027981	NC_027981
NC_028746	NC_028746
NC_028748	NC_028748
NC_028954	NC_028954
NC_028954	NC_042049
NC_029024	NC_029024
NC_029024	Bacilli_gi_423572483
NC_028950	NC_028950
NC_028805	NC_028805
NC_029116	NC_029116
NC_029119	NC_029119
NC_029073	NC_029073
NC_018277	NC_018277
NC_018283	NC_018283
NC_034248	NC_034248
NC_031100	NC_031100
NC_031129	NC_031129
NC_031264	NC_031264
NC_018085	NC_018085
NC_023597	NC_023597
NC_023599	NC_023599
NC_018843	NC_018843
NC_019422	NC_019422
NC_019489	NC_019489
NC_019502	NC_019502
NC_019507	NC_019507
NC_019544	NC_019544
NC_019722	NC_019722
NC_019917	NC_019917
NC_024369	NC_024369
NC_020876	NC_020876
NC_021865	NC_021865
NC_025424	NC_025424
NC_007581	NC_007581
NC_007581	NZ_CP063817
NC_009236	NC_009236
NC_028838	NC_028838
NC_007902	NC_007902
NC_005857	NC_005857
NC_006552	NC_006552
NC_004084	NC_004084
NC_008265	NC_008265
NC_021558	NC_021558
NC_029008	NC_029008
NC_004456	NC_004456
NC_005892	NC_005892
NC_001884	NC_001884
NC_020864	NC_020864
NC_005069	NC_005069
NC_014099	NC_014099
NC_011167	NC_011167
NC_008562	NC_008562
NC_005856	NC_005856
NC_029048	NC_029048
NC_029048	NZ_CP020426
NC_015273	NC_015273
NC_004820	NC_004820
NC_004821	NC_004821
NC_022087	NC_022087
NC_022965	NC_022965
NC_022977	NC_022977
NC_022985	NC_022985
NC_023553	NC_023553
NC_023713	NC_023713
NC_025444	NC_025444
NC_028744	NC_028744
NC_028849	NC_028849
NC_029077	NC_029077
NC_029077	NC_042330
NC_030694	NC_030694
NC_030695	NC_030695
NC_031031	NC_031031
NC_031031	NC_041886
NC_031060	NC_031060
NC_031238	NC_031238
NC_031256	NC_031256
NC_031257	NC_031257
NC_028965	NC_028965
NC_042091	NC_042091
NC_042123	NC_042123
NC_042128	NC_042128
NC_024137	NC_024137
NC_020873	NC_020873
NC_022088	NC_022088
NC_022769	NC_022769
IMGVR_UViG_3300026382_000018	IMGVR_UViG_3300026382_000018
IMGVR_UViG_3300026473_000011	IMGVR_UViG_3300026473_000011
IMGVR_UViG_3300026487_000016	IMGVR_UViG_3300026487_000016
IMGVR_UViG_3300026487_000016	IMGVR_UViG_3300031370_000017
IMGVR_UViG_3300026516_000013	IMGVR_UViG_3300026516_000013
IMGVR_UViG_3300026531_000005	IMGVR_UViG_3300026531_000005
IMGVR_UViG_3300026557_000011	IMGVR_UViG_3300026557_000011
IMGVR_UViG_3300026561_000001	IMGVR_UViG_3300026561_000001
IMGVR_UViG_3300026561_000001	IMGVR_UViG_3300005141_000001
IMGVR_UViG_3300026561_000001	IMGVR_UViG_3300006016_000001
IMGVR_UViG_3300026623_000006	IMGVR_UViG_3300026623_000006
IMGVR_UViG_3300026623_000006	IMGVR_UViG_3300006179_000003
IMGVR_UViG_3300026625_000003	IMGVR_UViG_3300026625_000003
IMGVR_UViG_3300026625_000003	IMGVR_UViG_3300007813_000002
IMGVR_UViG_3300026642_000002	IMGVR_UViG_3300026642_000002
IMGVR_UViG_3300026737_000001	IMGVR_UViG_3300026737_000001
IMGVR_UViG_3300026851_000001	IMGVR_UViG_3300026851_000001
IMGVR_UViG_3300026902_000001	IMGVR_UViG_3300026902_000001
IMGVR_UViG_3300027192_000015	IMGVR_UViG_3300027192_000015
IMGVR_UViG_3300027206_000013	IMGVR_UViG_3300027206_000013
IMGVR_UViG_3300027224_000029	IMGVR_UViG_3300027224_000029
IMGVR_UViG_3300027268_000002	IMGVR_UViG_3300027268_000002
IMGVR_UViG_3300027284_000008	IMGVR_UViG_3300027284_000008
IMGVR_UViG_3300027301_000011	IMGVR_UViG_3300027301_000011
IMGVR_UViG_3300027301_000011	IMGVR_UViG_3300027368_000004
IMGVR_UViG_3300027312_000013	IMGVR_UViG_3300027312_000013
IMGVR_UViG_3300027312_000013	IMGVR_UViG_3300030500_000014
IMGVR_UViG_3300027312_000009	IMGVR_UViG_3300027312_000009
IMGVR_UViG_3300027312_000009	IMGVR_UViG_3300030500_000011
IMGVR_UViG_3300027365_000018	IMGVR_UViG_3300027365_000018
IMGVR_UViG_3300027365_000011	IMGVR_UViG_3300027365_000011
IMGVR_UViG_3300027367_000012	IMGVR_UViG_3300027367_000012
IMGVR_UViG_3300027367_000012	IMGVR_UViG_3300024348_000350
IMGVR_UViG_3300027393_000025	IMGVR_UViG_3300027393_000025
IMGVR_UViG_3300027513_000089	IMGVR_UViG_3300027513_000089
IMGVR_UViG_3300027519_000015	IMGVR_UViG_3300027519_000015
IMGVR_UViG_3300027566_000016	IMGVR_UViG_3300027566_000016
IMGVR_UViG_3300027566_000016	IMGVR_UViG_3300005405_000080
IMGVR_UViG_3300027566_000016	IMGVR_UViG_3300029959_000161
